id,answer
1,F
2,F
3,F
4,T
5,F
6,T
7,F
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,F
16,T
17,T
18,T
19,F
20,T
21,F
22,F
23,F
24,T
25,F
26,F
27,F
28,T
29,F
30,F
31,T
32,F
33,F
34,F
35,F
36,F
37,F
38,F
39,F
40,T
41,T
42,F
43,T
44,T
45,F
46,T
47,F
48,F
49,F
50,F
51,T
52,T
53,T
54,T
55,F
56,T
57,F
58,T
59,F
60,F
61,F
62,T
63,F
64,T
65,F
66,T
67,T
68,F
69,F
70,T
71,T
72,F
73,F
74,F
75,T
76,T
77,T
78,T
79,F
80,F
81,T
82,F
83,T
84,F
85,F
86,F
87,F
88,T
89,T
90,F
91,F
92,T
93,F
94,T
95,F
96,T
97,F
98,F
99,F
100,T
